,Dive Number,Depth,Frame Count,ROI count,Frames missing Pressure,ROIs without frames,Sv_200kHz_vres_1m,Sv_1000kHz_vres_1m,Sv_Delta_vres_1m,Pressure_dbar,ECD_mm,Latitude,Longitude,Pressure_dbar,Local_Time,Local_Date,Feret_Diam_mm,ECD_mm,Major_Axis_Len_mm,Minor_Axis_Len_mm,Temp_deg_C,Salinity,Rho_kg_m-3,Fluor,Pitch_deg,Roll_deg
0,d0006,63.74,1710,82098,0,0,82098,82098,82098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,d0007,92.10,2661,192391,0,0,192391,192391,192391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,d0008,113.61,3025,259932,0,0,259932,259932,259932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,d0009,112.35,3103,259699,0,0,259699,259699,259699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,d0010,110.30,3020,273770,0,0,273770,273770,273770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,d0011,101.70,3188,315602,0,0,315602,315602,315602,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,d0012,100.04,3257,195111,0,0,195111,195111,195111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,d0013,177.64,4926,144810,0,0,144810,144810,144810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,d0015,182.33,4730,180019,0,0,180019,180019,180019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,d0016,180.04,4626,224604,0,0,224604,224604,224604,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,d0017,183.27,4552,326087,0,0,326087,326087,326087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,d0018,181.29,4680,377275,0,0,377275,377275,377275,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,d0019,80.65,2891,201832,0,0,201832,201832,201832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
