,start_time,end_time,total_frames_size_GB,total_rois_size_GB,frame_count,roi_count
2015_08_Mission_Bay_trials,10/13/2021 13:52,10/13/2021 14:25,7.6,3.88,10978,376743
2015_11_Scripps_Canyon_2,10/13/2021 14:25,10/13/2021 18:40,32.64,29.07,46369,3033230
2016_12_LJ_Canyon,10/13/2021 18:40,10/13/2021 19:59,48.91,9.03,74793,867539
2017_03_ZG_Rendezvous,10/13/2021 20:00,10/13/2021 21:52,70.98,21.3,104641,1422494
2017_07_SD_Trough_1,10/13/2021 21:52,10/14/2021 1:21,90.2,47.63,135148,2602517
2017_09_SD_Trough_2,10/14/2021 1:21,10/14/2021 7:06,354.65,65.39,529765,4145418
2017_11_SD_Trough_3,10/14/2021 7:06,10/14/2021 12:13,372.47,65.05,556648,3061685
2018_01_SD_Trough_4,10/14/2021 12:13,10/14/2021 22:23,376.34,116.81,559357,6443323
2018_04_SD_Trough_5,10/14/2021 22:23,10/15/2021 5:36,374.85,74.14,561435,4700634
2018_05_LJ_Canyon_SN068_trials,10/15/2021 5:36,10/15/2021 6:38,35.42,10.99,59051,591491
2018_06_SD_Trough_6,10/15/2021 6:38,10/15/2021 22:32,379.6,191.46,564401,12089658
2018_07_SD_Trough_7,10/15/2021 22:32,,,,61459,416038
2018_10_SD_Trough_8,9/30/2021 17:59,9/30/2021 21:21,379.34,42.04,559179,2524515
2018_11_SD_Trough_9,9/30/2021 13:51,9/30/2021 17:58,379.95,48.81,560963,2467990
2019_01_SD_Trough_10,9/30/2021 10:51,9/30/2021 13:51,225.74,21.62,503329,1152624
2019_05_SD_Trough_11,9/30/2021 4:34,9/30/2021 10:51,378.85,101.34,561353,6684563
2019_07_SD_Trough_12,10/23/2021 6:06,10/23/2021 12:18,292.04,110.96,435528,7205456
2019_08_PtSur_filament,10/22/2021 22:43,10/23/2021 6:06,381.13,157.34,560581,9301497
2020_01_LJ_Canyon_1,10/21/2021 5:41,10/22/2021 22:43,366.79,631.35,560747,37660487
2020_08_LJ_Canyon_2,10/20/2021 8:03,10/21/2021 5:41,405.77,413.53,563996,25385132
2020_08_Station_90.37,10/20/2021 2:42,10/20/2021 8:02,370.66,113.38,541562,7254301
2021_05_LJ_Canyon_3,10/19/2021 7:14,10/20/2021 2:42,397.25,308.42,562975,18703884
2021_07_PtSur_Offshore,10/18/2021 23:03,10/19/2021 7:14,384.51,108.77,560004,6400511
OBS_2018_07_SD_Trough_7_output_no_blob_corrections,10/18/2021 16:23,10/18/2021 23:02,378.43,85.69,560826,5492347
