Image Path,Ground Truth,Prediction
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/143566962_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72303116_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71654517_0.jpg,detritus,Ctenophora_Metazoa
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/143439731_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71224943_0.jpg,like_Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/rhizaria like/72164820_0.jpg,rhizaria like,Castanellidae
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71302417_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/71528729_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Eumalacostraca/71727934_0.jpg,Eumalacostraca,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/72074825_0.jpg,detritus,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143530192_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/170806959_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71893366_0.jpg,fiber_detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Crustacea/170823692_0.jpg,Crustacea,Crustacea
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/170932441_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71577913_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/143692416_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/70992450_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71391582_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71644610_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71230747_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71122704_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulacantha/143677762_0.jpg,Aulacantha,Aulacantha
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/72213617_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72119481_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulosphaeridae/171062879_0.jpg,Aulosphaeridae,Aulosphaeridae
/d_sarafian/datasets/UVP5_processed_sep_2021/darksphere/71821885_0.jpg,darksphere,darksphere
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143659262_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/othertocheck/71858033_0.jpg,othertocheck,othertocheck
/d_sarafian/datasets/UVP5_processed_sep_2021/Acantharea/71758061_0.jpg,Acantharea,darksphere
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143371634_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71231836_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72007616_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71590022_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71943481_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71271874_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulosphaeridae/71559069_0.jpg,Aulosphaeridae,Aulosphaeridae
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/70959146_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71058892_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/othertocheck/72139112_0.jpg,othertocheck,Eucalanidae
/d_sarafian/datasets/UVP5_processed_sep_2021/Foraminifera/143245417_0.jpg,Foraminifera,Foraminifera
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/72213185_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71266125_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71947077_0.jpg,fiber_detritus,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/72059260_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/143149819_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/72243474_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71537934_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Eumalacostraca/72325701_0.jpg,Eumalacostraca,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71303605_0.jpg,like_Copepoda,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/71906556_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/143473617_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/72290303_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71053427_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71022715_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/71285022_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71053319_0.jpg,Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulosphaeridae/143370264_0.jpg,Aulosphaeridae,Aulosphaeridae
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71773765_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71596733_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Castanellidae/143455187_0.jpg,Castanellidae,darksphere
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71621267_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/72009411_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/70992677_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71651250_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/72322725_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143526233_0.jpg,detritus,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Siphonophorae/143643772_0.jpg,Siphonophorae,Siphonophorae
/d_sarafian/datasets/UVP5_processed_sep_2021/othertocheck/71114274_0.jpg,othertocheck,Hydrozoa
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71307006_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71680475_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71475866_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72308548_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/143624801_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/71311306_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72119686_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulacantha/170920607_0.jpg,Aulacantha,Aulacantha
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/72143445_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71003087_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71900482_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Copepoda/71541373_0.jpg,Copepoda,Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/143197328_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143303349_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/143500037_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72371531_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/othertocheck/71347295_0.jpg,othertocheck,Crustacea
/d_sarafian/datasets/UVP5_processed_sep_2021/Siphonophorae/72268419_0.jpg,Siphonophorae,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71632147_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/Doliolida/71055773_0.jpg,Doliolida,Doliolida
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/72300555_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Aulosphaeridae/171020754_0.jpg,Aulosphaeridae,Aulosphaeridae
/d_sarafian/datasets/UVP5_processed_sep_2021/othertocheck/170871972_0.jpg,othertocheck,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71663776_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/143298815_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71058165_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/Annelida/71761052_0.jpg,Annelida,Annelida
/d_sarafian/datasets/UVP5_processed_sep_2021/Eumalacostraca/72257248_0.jpg,Eumalacostraca,Eumalacostraca
/d_sarafian/datasets/UVP5_processed_sep_2021/Diatoma/71591172_0.jpg,Diatoma,Diatoma
/d_sarafian/datasets/UVP5_processed_sep_2021/detritus/71636473_0.jpg,detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Ctenophora_Metazoa/71457288_0.jpg,Ctenophora_Metazoa,Ctenophora_Metazoa
/d_sarafian/datasets/UVP5_processed_sep_2021/like_Copepoda/71213773_0.jpg,like_Copepoda,like_Copepoda
/d_sarafian/datasets/UVP5_processed_sep_2021/badfocus_artefact/170950456_0.jpg,badfocus_artefact,badfocus_artefact
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/70994136_0.jpg,fiber_detritus,fiber_detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/fiber_detritus/71938798_0.jpg,fiber_detritus,detritus
/d_sarafian/datasets/UVP5_processed_sep_2021/Eumalacostraca/71034242_0.jpg,Eumalacostraca,Eumalacostraca
